Open,High,Low,Close,Adj Close,Volume,Source,Date
189.4900054931641,189.9199981689453,188.27999877929688,189.4600067138672,189.2107391357422,45732600,AAPL,2023-09-01
188.27999877929688,189.97999572753903,187.6100006103516,189.6999969482422,189.45040893554688,45280000,AAPL,2023-09-05
188.3999938964844,188.8500061035156,181.47000122070312,182.9100036621093,182.6693420410156,81755800,AAPL,2023-09-06
175.17999267578125,178.2100067138672,173.5399932861328,177.55999755859375,177.32638549804688,112488800,AAPL,2023-09-07
178.35000610351562,180.2400054931641,177.7899932861328,178.17999267578125,177.945556640625,65551300,AAPL,2023-09-08
180.07000732421875,180.3000030517578,177.33999633789062,179.36000061035156,179.12400817871094,58953100,AAPL,2023-09-11
179.49000549316406,180.1300048828125,174.82000732421875,176.3000030517578,176.0680389404297,90370200,AAPL,2023-09-12
176.50999450683594,177.3000030517578,173.97999572753906,174.2100067138672,173.9807891845703,84267900,AAPL,2023-09-13
174.0,176.10000610351562,173.5800018310547,175.74000549316406,175.5087890625,60895800,AAPL,2023-09-14
176.47999572753906,176.5,173.82000732421875,175.00999450683594,174.77972412109375,109205100,AAPL,2023-09-15
176.47999572753906,179.3800048828125,176.1699981689453,177.97000122070312,177.73583984375,67257600,AAPL,2023-09-18
177.52000427246094,179.6300048828125,177.1300048828125,179.07000732421875,178.8343963623047,51826900,AAPL,2023-09-19
179.25999450683594,179.6999969482422,175.39999389648438,175.49000549316406,175.2591094970703,58436200,AAPL,2023-09-20
174.5500030517578,176.3000030517578,173.86000061035156,173.92999267578125,173.70115661621094,63047900,AAPL,2023-09-21
174.6699981689453,177.0800018310547,174.0500030517578,174.7899932861328,174.5600128173828,56725400,AAPL,2023-09-22
174.1999969482422,176.97000122070312,174.14999389648438,176.0800018310547,175.84832763671875,46172700,AAPL,2023-09-25
174.82000732421875,175.1999969482422,171.66000366210938,171.9600067138672,171.73374938964844,64588900,AAPL,2023-09-26
172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.20574951171875,66921800,AAPL,2023-09-27
169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.46542358398438,56294400,AAPL,2023-09-28
172.02000427246094,173.07000732421875,170.33999633789062,171.2100067138672,170.9847412109375,51814200,AAPL,2023-09-29
171.22000122070312,174.3000030517578,170.92999267578125,173.75,173.52139282226562,52164500,AAPL,2023-10-02
172.25999450683594,173.6300048828125,170.82000732421875,172.39999389648438,172.1731719970703,49594600,AAPL,2023-10-03
171.08999633789062,174.2100067138672,170.97000122070312,173.66000366210938,173.4315185546875,53020300,AAPL,2023-10-04
173.7899932861328,175.4499969482422,172.67999267578125,174.91000366210938,174.67987060546875,48527900,AAPL,2023-10-05
173.8000030517578,177.99000549316406,173.17999267578125,177.49000549316406,177.25648498535156,57224100,AAPL,2023-10-06
176.80999755859375,179.0500030517578,175.8000030517578,178.99000549316406,178.75450134277344,42390800,AAPL,2023-10-09
178.10000610351562,179.72000122070312,177.9499969482422,178.38999938964844,178.15528869628906,43698000,AAPL,2023-10-10
178.1999969482422,179.85000610351562,177.60000610351562,179.8000030517578,179.5634307861328,47551100,AAPL,2023-10-11
180.07000732421875,182.33999633789065,179.0399932861328,180.7100067138672,180.4722442626953,56743100,AAPL,2023-10-12
181.4199981689453,181.92999267578125,178.13999938964844,178.85000610351562,178.61468505859375,51427100,AAPL,2023-10-13
176.75,179.0800018310547,176.50999450683594,178.72000122070312,178.48486328125,52517000,AAPL,2023-10-16
176.64999389648438,178.4199981689453,174.8000030517578,177.14999389648438,176.9169158935547,57549400,AAPL,2023-10-17
175.5800018310547,177.5800018310547,175.11000061035156,175.83999633789062,175.608642578125,54764400,AAPL,2023-10-18
176.0399932861328,177.83999633789062,175.19000244140625,175.4600067138672,175.22915649414062,59302900,AAPL,2023-10-19
175.30999755859375,175.4199981689453,172.63999938964844,172.8800048828125,172.6525421142578,64189300,AAPL,2023-10-20
170.91000366210938,174.00999450683594,169.92999267578125,173.0,172.7723846435547,55980100,AAPL,2023-10-23
173.0500030517578,173.6699981689453,171.4499969482422,173.44000244140625,173.21180725097656,43816600,AAPL,2023-10-24
171.8800048828125,173.05999755859375,170.64999389648438,171.10000610351562,170.87489318847656,57157000,AAPL,2023-10-25
170.3699951171875,171.3800048828125,165.6699981689453,166.88999938964844,166.67042541503906,70625300,AAPL,2023-10-26
166.91000366210938,168.9600067138672,166.8300018310547,168.22000122070312,167.99867248535156,58499100,AAPL,2023-10-27
169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,170.06593322753906,51131000,AAPL,2023-10-30
169.35000610351562,170.89999389648438,167.89999389648438,170.77000427246094,170.54531860351562,44846000,AAPL,2023-10-31
171.0,174.22999572753906,170.1199951171875,173.97000122070312,173.74110412597656,56934900,AAPL,2023-11-01
175.52000427246094,177.77999877929688,175.4600067138672,177.57000732421875,177.3363800048828,77334800,AAPL,2023-11-02
174.24000549316406,176.82000732421875,173.35000610351562,176.64999389648438,176.41757202148438,79763700,AAPL,2023-11-03
176.3800048828125,179.42999267578125,176.2100067138672,179.22999572753906,178.9941864013672,63841300,AAPL,2023-11-06
179.17999267578125,182.44000244140625,178.97000122070312,181.82000732421875,181.58078002929688,70530000,AAPL,2023-11-07
182.3500061035156,183.4499969482422,181.58999633789065,182.88999938964844,182.6493682861328,49340300,AAPL,2023-11-08
182.9600067138672,184.1199951171875,181.8099975585937,182.4100036621093,182.1699981689453,53763500,AAPL,2023-11-09
183.97000122070312,186.57000732421875,183.52999877929688,186.3999938964844,186.3999938964844,66133400,AAPL,2023-11-10
185.82000732421875,186.02999877929688,184.2100067138672,184.8000030517578,184.8000030517578,43627500,AAPL,2023-11-13
187.6999969482422,188.1100006103516,186.3000030517578,187.44000244140625,187.44000244140625,60108400,AAPL,2023-11-14
187.8500061035156,189.5,187.77999877929688,188.009994506836,188.009994506836,53790500,AAPL,2023-11-15
189.57000732421875,190.9600067138672,188.6499938964844,189.7100067138672,189.7100067138672,54412900,AAPL,2023-11-16
190.25,190.3800048828125,188.57000732421875,189.69000244140625,189.69000244140625,50922700,AAPL,2023-11-17
189.88999938964844,191.9100036621093,189.8800048828125,191.4499969482422,191.4499969482422,46505100,AAPL,2023-11-20
191.4100036621093,191.5200042724609,189.7400054931641,190.63999938964844,190.63999938964844,38134500,AAPL,2023-11-21
191.4900054931641,192.92999267578125,190.8300018310547,191.3099975585937,191.3099975585937,39617700,AAPL,2023-11-22
190.8699951171875,190.8999938964844,189.25,189.97000122070312,189.97000122070312,24048300,AAPL,2023-11-24
189.9199981689453,190.6699981689453,188.8999938964844,189.7899932861328,189.7899932861328,40552600,AAPL,2023-11-27
189.77999877929688,191.0800018310547,189.3999938964844,190.3999938964844,190.3999938964844,38415400,AAPL,2023-11-28
190.8999938964844,192.08999633789065,188.97000122070312,189.3699951171875,189.3699951171875,43014200,AAPL,2023-11-29
189.83999633789065,190.32000732421875,188.19000244140625,189.9499969482422,189.9499969482422,48794400,AAPL,2023-11-30
331.3099975585937,331.989990234375,326.7799987792969,328.6600036621094,327.9942932128906,14931200,MSFT,2023-09-01
329.0,334.8500061035156,328.6600036621094,333.54998779296875,332.8743591308594,18553900,MSFT,2023-09-05
333.3800048828125,334.4599914550781,330.17999267578125,332.8800048828125,332.20574951171875,17535800,MSFT,2023-09-06
331.2900085449219,333.0799865722656,329.0299987792969,329.9100036621094,329.24176025390625,18381000,MSFT,2023-09-07
330.0899963378906,336.1600036621094,329.4599914550781,334.2699890136719,333.5928955078125,19530100,MSFT,2023-09-08
337.239990234375,338.4200134277344,335.42999267578125,337.94000244140625,337.2554931640625,16583300,MSFT,2023-09-11
335.82000732421875,336.7900085449219,331.4800109863281,331.7699890136719,331.09796142578125,17565500,MSFT,2023-09-12
331.3099975585937,336.8500061035156,331.1700134277344,336.0599975585937,335.3793029785156,16544400,MSFT,2023-09-13
339.1499938964844,340.8599853515625,336.57000732421875,338.70001220703125,338.0139465332031,20267000,MSFT,2023-09-14
336.9200134277344,337.3999938964844,329.6499938964844,330.2200012207031,329.5511169433594,37666900,MSFT,2023-09-15
327.79998779296875,330.3999938964844,326.3599853515625,329.0599975585937,328.3934631347656,16834200,MSFT,2023-09-18
326.1700134277344,329.3900146484375,324.510009765625,328.6499938964844,327.9842834472656,16505900,MSFT,2023-09-19
329.510009765625,329.5899963378906,320.510009765625,320.7699890136719,320.1202697753906,21436500,MSFT,2023-09-20
319.260009765625,325.3500061035156,315.0,319.5299987792969,318.8827819824219,35529500,MSFT,2023-09-21
321.32000732421875,321.45001220703125,316.1499938964844,317.010009765625,316.3678894042969,21447900,MSFT,2023-09-22
316.5899963378906,317.6700134277344,315.0,317.5400085449219,316.8968200683594,17836000,MSFT,2023-09-25
315.1300048828125,315.8800048828125,310.0199890136719,312.1400146484375,311.5077514648437,26297600,MSFT,2023-09-26
312.29998779296875,314.29998779296875,309.69000244140625,312.7900085449219,312.15643310546875,19410100,MSFT,2023-09-27
310.989990234375,315.4800109863281,309.45001220703125,313.6400146484375,313.0047302246094,19683600,MSFT,2023-09-28
317.75,319.4700012207031,314.9800109863281,315.75,315.1104431152344,24140300,MSFT,2023-09-29
316.2799987792969,321.8900146484375,315.17999267578125,321.79998779296875,321.1481628417969,20570000,MSFT,2023-10-02
320.8299865722656,321.3900146484375,311.2099914550781,313.3900146484375,312.7552185058594,21033500,MSFT,2023-10-03
314.0299987792969,320.0400085449219,314.0,318.9599914550781,318.3139343261719,20720100,MSFT,2023-10-04
319.0899963378906,319.9800109863281,314.8999938964844,319.3599853515625,318.7131042480469,16965600,MSFT,2023-10-05
316.54998779296875,329.19000244140625,316.29998779296875,327.260009765625,326.5971374511719,25645500,MSFT,2023-10-06
324.75,330.29998779296875,323.17999267578125,329.82000732421875,329.1519470214844,19891200,MSFT,2023-10-09
330.9599914550781,331.1000061035156,327.6700134277344,328.3900146484375,327.724853515625,20557100,MSFT,2023-10-10
331.2099914550781,332.82000732421875,329.1400146484375,332.4200134277344,331.7466735839844,20063200,MSFT,2023-10-11
330.57000732421875,333.6300048828125,328.7200012207031,331.1600036621094,330.4892272949219,19313100,MSFT,2023-10-12
332.3800048828125,333.8299865722656,326.3599853515625,327.7300109863281,327.0661926269531,21072400,MSFT,2023-10-13
331.04998779296875,336.1400146484375,330.6000061035156,332.6400146484375,331.9662475585937,22158000,MSFT,2023-10-16
